"97.10 Code GBA-deelnemer","97.11 Omschrijving","97.12 Aanduiding aangesloten op het GBA-netwerk","99.98 Datum ingang","99.99 Datum einde"
"062501","Gemeente Voorhout","1","19930601","20060101",""
"062601","Gemeente Voorschoten/Burgerzakentaken","1","20180725","",""
"062701","Gemeente Waddinxveen/Burgerzakentaken","1","20180725","",""
"062801","Gemeente Warmond","1","19930915","20060101",""
"062901","Gemeente Wassenaar/Burgerzakentaken","1","20180725","",""
"063001","Gemeente Wateringen","1","19940201","20040101",""
"063201","Gemeente Woerden/Burgerzakentaken","1","20180701","",""
"063203","Gemeente Woerden via MijnOverheid/Verhuisvoorziening","0","20171101","",""
"063701","Gemeente Zoetermeer/Burgerzakentaken","1","20180701","",""
"063801","Gemeente Zoeterwoude/Burgerzakentaken","1","20180701","",""
"064201","Gemeente Zwijndrecht/Burgerzakentaken","1","20180701","",""
"064301","Gemeente Nederlek","1","19931201","20150101",""
"064401","Gemeente Ouderkerk","1","19940930","20150101",""
"064501","Gemeente Jacobswoude","1","19940201","20090101",""
"064801","Gemeente Aardenburg","1","19930615","19950101",""
"064901","Gemeente Arnemuiden","1","19940201","19970101",""
"065001","Gemeente Axel","1","19930901","20030101",""
